customer_id,satisfaction_score,survey_date,tier,points
C084,6.0,2023-12-01,,
C054,7.0,2023-12-02,Platinum,2537.0
C071,4.0,2023-12-03,Silver,9711.0
C046,8.0,2023-12-04,Bronze,5030.0
C045,5.0,2023-12-05,Bronze,8765.0
C040,1.0,2023-12-06,,
C023,7.0,2023-12-07,,
C081,9.0,2023-12-08,,
C011,5.0,2023-12-09,,
C001,3.0,2023-12-10,Gold,9537.0
C019,2.0,2023-12-11,,
C031,10.0,2023-12-12,Silver,6792.0
C074,1.0,2023-12-13,,
C034,5.0,2023-12-14,Silver,9258.0
C091,7.0,2023-12-15,Platinum,4209.0
C005,8.0,2023-12-16,Silver,2913.0
C077,1.0,2023-12-17,Bronze,3280.0
C078,5.0,2023-12-18,Silver,8367.0
C013,7.0,2023-12-19,Bronze,7922.0
C032,8.0,2023-12-20,Gold,220.0
C056,1.0,2023-12-21,,
C089,5.0,2023-12-22,Silver,2881.0
C027,7.0,2023-12-23,Bronze,1811.0
C043,2.0,2023-12-24,Silver,3574.0
C070,8.0,2023-12-25,Gold,7115.0
C016,7.0,2023-12-26,,
C041,9.0,2023-12-27,,
C097,6.0,2023-12-28,,
C010,7.0,2023-12-29,Platinum,221.0
C073,8.0,2023-12-30,Silver,3884.0
C012,3.0,2023-12-31,Bronze,656.0
C048,8.0,2024-01-01,,
C086,6.0,2024-01-02,Bronze,8245.0
C029,3.0,2024-01-03,Platinum,2373.0
C094,2.0,2024-01-04,,
C006,6.0,2024-01-05,Bronze,155.0
C067,2.0,2024-01-06,,
C066,5.0,2024-01-07,Platinum,191.0
C036,10.0,2024-01-08,Platinum,1001.0
C017,8.0,2024-01-09,Bronze,2522.0
C050,8.0,2024-01-10,,
C035,3.0,2024-01-11,,
C008,3.0,2024-01-12,,
C096,8.0,2024-01-13,Platinum,5037.0
C028,6.0,2024-01-14,,
C020,3.0,2024-01-15,Silver,7886.0
C082,7.0,2024-01-16,Silver,8113.0
C026,1.0,2024-01-17,,
C063,6.0,2024-01-18,Platinum,4841.0
C014,1.0,2024-01-19,,
C009,,,Gold,468.0
C083,,,Gold,6560.0
C064,,,Bronze,3096.0
C051,,,Gold,2268.0
C024,,,Silver,3249.0
C061,,,Bronze,3655.0
C025,,,Silver,269.0
C039,,,Silver,1156.0
C057,,,Bronze,245.0
C076,,,Silver,9107.0
C030,,,Silver,6486.0
C092,,,Silver,3281.0
C042,,,Gold,4012.0
C022,,,Gold,1976.0
C085,,,Silver,3306.0
C088,,,Gold,4238.0
C098,,,Bronze,6956.0
C021,,,Gold,973.0
C090,,,Platinum,5324.0
C038,,,Silver,4107.0
C060,,,Bronze,3684.0
C002,,,Platinum,7498.0
C075,,,Bronze,5229.0
C080,,,Silver,8347.0
C015,,,Gold,6851.0
C055,,,Gold,170.0
C052,,,Gold,7509.0
C007,,,Bronze,6501.0
C099,,,Gold,3631.0
C044,,,Gold,338.0
